zh_raw,zh_cn,zh_tw,pinyin,jyutping,en,freq
的,的,的,de,dīk,of,3957141
我,我,我,wǒ,ngǒ,I; me,3669472
你,你,你,nǐ,něi,you,3282942
了,了,了,le,lǐu,(action completed),2141739
是,是,是,shì,si,yes; is,1670639
在,在,在,zài,zoi,in,1023023
他,他,他,tā,tāa,he; him,904210
我们,我们,我們,wǒmen,ngǒmùn,we,827393
不,不,不,bù,bāt,not,725410
吗,吗,嗎,mǎ,māa,it,652753
好,好,好,hào,hôu,great,558010
什么,什么,什麼,shénme,sammō,what,534934
有,有,有,yǒu,jǎu,have,511680
就,就,就,jiù,zau,on,504482
吧,吧,吧,ba,bāa,it,502836
她,她,她,tā,tāa,she; her,488294
这,这,這,zhè,zé,this,440271
知道,知道,知道,zhīdào,zīdou,know,437631
说,说,說,shuō,syût,say,413852
都,都,都,dōu,dōu,all,413654
去,去,去,qù,hêoi,go,370927
很,很,很,hěn,hán,very,365403
啊,啊,啊,a,āa,what,358257
要,要,要,yào,jîu,want,352653
也,也,也,yě,jǎa,also,336670
他们,他们,他們,tāmen,tāamùn,they,330294
和,和,和,hé,wò,and; with,323973
那,那,那,nà,nǎa,that,323364
想,想,想,xiǎng,sóeng,want; wish; to miss,317123
人,人,人,rén,jàn,person; people,315856
会,会,會,huì,wúi,can; be able to; a meeting,312399
一个,一个,一個,yīgè,jātgô,one,286202
来,来,來,lái,lòi,come,279006
把,把,把,bǎ,báa,the,259336
对,对,對,duì,dêoi,correct,257560
没有,没有,沒有,méiyǒu,mutjǎu,no; do not have,257229
做,做,做,zuò,zou,do,256927
不是,不是,不是,bùshì,bātsi,no,253201
让,让,讓,ràng,joeng,yield,235971
给,给,給,gěi,kāp,give,232587
可以,可以,可以,kěyǐ,hójǐ,can,213363
你们,你们,你們,nǐmen,něimùn,you guys,207368
呢,呢,呢,ní,nèi,it,203137
但,但,但,dàn,daan,but,200270
到,到,到,dào,dôu,to,195057
还,还,還,hái,wàan,also,192818
现在,现在,現在,xiànzài,jinzoi,right now,191204
这个,这个,這個,zhège,zégô,this one,184608
能,能,能,néng,nàng,can,183817
怎么,怎么,怎麼,zěnme,zámmō,how,174335
就是,就是,就是,jiùshì,zausi,it is,174001
跟,跟,跟,gēn,gān,with,172998
如果,如果,如果,rúguǒ,jyùgwó,in case,171340
没,没,沒,méi,mut,no,171205
它,它,它,tā,tāa,it,170019
走,走,走,zǒu,záu,go,169161
上,上,上,shàng,sǒeng,on,163659
得,得,得,de,dāk,get,157393
这里,这里,這裡,zhèlǐ,zélěoi,here,155860
这样,这样,這樣,zhèyàng,zéjoeng,such,154329
个,个,個,ge,gô,more; (this many),148111
看,看,看,kàn,hôn,to see; look,142855
事,事,事,shì,si,thing,136748
自己,自己,自己,zìjǐ,zigéi,own,134251
着,着,著,zhe,zoek,the,133440
谁,谁,誰,shuí,sèoi,who,127180
过,过,過,guò,gwô,live,126905
不会,不会,不會,bùhuì,bātwúi,will not,126661
告诉,告诉,告訴,gàosu,gôusôu,tell,121954
为什么,为什么,為什麼,wèishénme,waisammō,why,119165
不能,不能,不能,bùnéng,bātnàng,can not,118579
真的,真的,真的,zhēnde,zāndīk,really,117819
先生,先生,先生,xiānsheng,sīnsāang,Mister,115604
只是,只是,只是,zhǐshì,zísi,just,115329
不要,不要,不要,bùyào,bātjîu,do not,114532
这是,这是,這是,zhèshì,zěsi,this is,113425
已经,已经,已經,yǐjīng,jǐgīng,already,111924
再,再,再,zài,zôi,again,108389
哦,哦,哦,o,ngò,oh,107476
需要,需要,需要,xūyào,sēoijîu,need,104694
